Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Helcef AZ LB Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Femidin 40mg Tablet,GASTRO INTESTINAL,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Veradrot-A Tablet,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Paintac Plus 100mg/325mg/15mg Tablet,PAIN ANALGESICS,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tolaz 15mg Tablet,NEURO CNS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Broxyl-AP Syrup,RESPIRATORY,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Teltech AM 40mg/5mg Tablet,CARDIAC,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Metchem 1000mg Tablet SR,ANTI DIABETICS,262,4.43,5.57,Medium Flexibility,Regular Monitoring
Nusali Cream,DERMA,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Hyflux 30mg/20mg Capsule SR,GASTRO INTESTINAL,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ocibutol 800mg Tablet,ANTI INFECTIVES,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Readybro 200mg Tablet SR,RESPIRATORY,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rapraz 20mg Tablet,GASTRO INTESTINAL,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Glimase MP 2 Tablet,ANTI DIABETICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Aplaz 0.5mg Tablet,NEURO CNS,159,2.69,7.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tazid 250mg Injection,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Gride 4mg Tablet,ANTI DIABETICS,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Goodvert 8 Tablet,NEURO CNS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Inzycort 6mg Tablet,HORMONE,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Netomet 1000mg Tablet SR,ANTI DIABETICS,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ivscab 12 Tablet,ANTI INFECTIVES,161,2.72,7.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Algesin 8mg Tablet,PAIN ANALGESICS,52,0.88,9.12,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ionmol 650mg Tablet,PAIN ANALGESICS,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mocast FX 10mg/120mg Tablet,RESPIRATORY,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acerex SP Tablet,PAIN ANALGESICS,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drotamef 80 mg/250 mg Tablet,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kanset 4mg Tablet,GASTRO INTESTINAL,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oflix 200mg Tablet,ANTI INFECTIVES,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ultrazek Gel,PAIN ANALGESICS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Ulcon P 5 mg/2.5 mg Tablet,GASTRO INTESTINAL,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Juvetra Syrup,RESPIRATORY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Fertimak Forte Injection,GYNAECOLOGICAL,476,8.04,1.96,High Flexibility (Safe),Lean Inventory (Low Risk)
Trancodol DT 5 Tablet,NEURO CNS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nurovas 10mg Tablet,CARDIAC,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sotalar 40 Tablet,CARDIAC,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Btzin D 15mg/20mg Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Kiapred 16mg Tablet,HORMONES,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Fabuflox 50 Suspension,ANTI INFECTIVES,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Hetrofen SP 100mg/500mg/15mg Tablet,PAIN ANALGESICS,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Histacross L 10mg Tablet,RESPIRATORY,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Losium 50 Tablet,CARDIAC,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rosenir 20mg Tablet,CARDIAC,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Spasmoki MF 10mg/250mg Tablet,PAIN ANALGESICS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Kytobr 0.3% Eye Drop,OPHTHAL OTOLOGICAL,585,9.88,0.12,High Flexibility (Safe),Lean Inventory (Low Risk)
Axicef 250mg Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
StayHappi Diclofenac 75mg Injection,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Manaderm Tablet,DERMA,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bond 200mg Oral Drops,ANTI INFECTIVES,69,1.17,8.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kvcef O LB 200mg/200mg Tablet,ANTI INFECTIVES,71,1.2,8.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drlipid FB Tablet,CARDIAC,25,0.42,9.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telmaheal 40mg Tablet,CARDIAC,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Easy Blink Eye Drop,OPHTHA,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zocon L Cream,DERMA,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Omecil-D Capsule,GASTRO INTESTINAL,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lacmolax Plus Syrup,GASTRO INTESTINAL,27,0.46,9.54,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kenulide P 100mg/325mg Tablet,PAIN ANALGESICS,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lulirx Cream,DERMA,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levolac 25mg Injection,NEURO CNS,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lanso 30mg Capsule,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Clariwin 250 Tablet,ANTI INFECTIVES,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Primosul Cold Tablet,RESPIRATORY,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Feel-UP Tablet,NEURO CNS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Osent-MD 2mg/5ml Syrup,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Niemol 100mg Tablet MD,PAIN ANALGESICS,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drocox 80mg/100mg Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Q Coril Dmr Tablet,RESPIRATORY,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Stella 100 Tablet,NEURO CNS,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mesacol CR 1gm Granules,GASTRO INTESTINAL,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Raliflox Forte Oral Suspension,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Fivasa Vaginal Capsule,DERMA,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Paclitol 260mg Injection,ANTI NEOPLASTICS,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Doxal Plus 10mg/10mg/2.5mg Tablet,GASTRO INTESTINAL,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hnu-D3 60K Chewable Tablet,VITAMINS MINERALS NUTRIENTS,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Isoprix 40mg Tablet SR,GYNAECOLOGICAL,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fabuwik 80mg Tablet,PAIN ANALGESICS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Moxicule Eye Ointment,OPHTHA,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Simvin Syrup,GASTRO INTESTINAL,13,0.22,9.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ubiphene C 50mg Capsule,GYNAECOLOGICA,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Ra 40mg Tablet,GASTRO INTESTINAL,98,1.66,8.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ofer O 200mg/500mg Tablet,GASTRO INTESTINAL,101,1.71,8.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Futiease 0.5% Cream,DERMA,361,6.1,3.9,Medium Flexibility,Regular Monitoring
Nitaz 5mg Tablet,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Prosium 20mg Tablet,GASTRO INTESTINAL,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Ipreg 200 SR Tablet,GYNAECOLOGICAL,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
DOMPAN OD TABLET,GASTRO INTESTINAL,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
ON Kof Syrup,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Glicol M 80 mg/500 mg Tablet,ANTI DIABETICS,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tusq-D Cough Lozenges Honey lemon,RESPIRATORY,48,0.81,9.19,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fermox Dry Syrup,ANTI INFECTIVES,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bencold P Tablet,RESPIRATORY,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hbclin 300mg Capsule,ANTI INFECTIVES,135,2.28,7.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vogeab GM 1mg/500mg/0.2mg Tablet,ANTI DIABETICS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flexabenz Spray,PAIN ANALGESICS,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kalzimin Tablet,VITAMINS MINERALS NUTRIENT,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pentoval 40mg Injection,GASTRO INTESTINAL,32,0.54,9.46,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Arthrin Plus 100 mg/500 mg Tablet,PAIN ANALGESICS,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
O Loxin OZ 200mg/500mg Tablet,GASTRO INTESTINAL,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Moximark D Eye Drop,OPHTHA,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Floxcis M Oral Suspension,GASTRO INTESTINAL,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Xontrax 500mg Injection,ANTI INFECTIVES,17,0.29,9.71,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tacroz Forte Solution,ANTI NEOPLASTICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Xine 10mg Tablet,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Vricefi 200 Tablet,ANTI INFECTIVES,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Numoxyclav 625 Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Saflox O 200mg Syrup,ANTI INFECTIVES,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabinox-D 30mg/20mg Capsule,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Garnidic Cream,DERMA,96,1.62,8.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Finezol IM 0.25mg/25mg Tablet,NEURO CNS,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Napzone-D Tablet,PAIN ANALGESICS,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Itrakzol 200mg Capsule,ANTI INFECTIVES,81,1.37,8.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Biotor Asp 10mg/75mg Tablet,CARDIAC,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Inficlav 500mg/125mg Tablet,ANTI INFECTIVES,133,2.25,7.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
RABZOLIX-DSR Capsule,GASTRO INTESTINAL,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gastroheal D 30mg/20mg Capsule SR,GASTRO INTESTINAL,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tolkem 50 Tablet,PAIN ANALGESICS,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hnu-D3 60K Oral Solution,VITAMINS MINERALS NUTRIENTS,311,5.25,4.75,Medium Flexibility,Regular Monitoring
Castron 4mg Injection,GASTRO INTESTINAL,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acstop Soap,DERMA,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Uricheck 40 Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Setinmt 5mg Tablet,RESPIRATORY,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fosaprineon 150mg Injection,GASTRO INTESTINAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Raxit 10mg Tablet,NEURO CNS,128,2.16,7.84,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Penrab-D Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Brox-CZ Syrup,RESPIRATORY,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Itrazay 100 Capsule,ANTI INFECTIVES,161,2.72,7.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hoxace TH 100mg/4mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Coldfar-Forte Tablet,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Sv-Levo-MD Tablet,RESPIRATORY,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rekool 40-D Capsule SR,GASTRO INTESTINAL,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Yodilite-L Plus 80mg/480mg Tablet,ANTI MALARIAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Sanclofen 100mg/325mg Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Klorum Injection,ANTI INFECTIVES,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimtel 100mg Tablet,PAIN ANALGESICS,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Biztel M 500mg/20mg Tablet,ANTI DIABETICS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pentalink L 10 mg/40 mg Tablet,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Ecovilda M 850mg/50mg Tablet,ANTI DIABETICS,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Gutspas 80mg/250mg Tablet,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Stomech 20mg Tablet,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Vermact 3 Tablet DT,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ndrun 25mg Injection,HORMONE,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Erpetol 0.5% Eye Drop,OPHTHAL,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fexomik 180mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Mg 1mg/500mg Tablet SR,ANTI DIABETICS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oslocure 200mg Tablet,ANTI INFECTIVES,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ulitop Tablet,GYNAECOLOGICA,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Faktu Ointment,PAIN ANALGESICS,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aloyrin C 135mg/5mg Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Arkadep 20mg Tablet,NEURO CNS,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Penzole 40mg Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Booncal D3 60K Chewable Tablet Coffee Sugar Free,VITAMINS MINERALS NUTRIENTS,378,6.39,3.61,Medium Flexibility,Regular Monitoring
G Vanc 500mg Injection,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Pemaxam 100mg Injection,ANTI NEOPLASTICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Bantop 40mg Tablet,GASTRO INTESTINAL,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
NP Rox 150mg Tablet,ANTI INFECTIVES,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Coderm Cream,DERMA,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Welestra D Tablet,GYNAECOLOGICA,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sysmute 10mg Soft Gelatin Capsule,DERMA,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Afogatran 150 Capsule,CARDIAC,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Alfugress-D  Tablet SR,UROLOG,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tsart 80 Tablet,CARDIAC,66,1.11,8.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lzo 1% Lotion,DERMA,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Xole 40mg Injection,GASTRO INTESTINAL,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimirep 3mg/1000mg Tablet,ANTI DIABETICS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Tolsum AP 100mg/325mg/150mg Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Netom D 10mg/20mg Capsule,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Wosulin 50/50 Solution for Injection 100IU/ml,ANTI DIABETICS,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
ISUN 10mg Tablet,GYNAECOLOGICAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Mahaflox-D Eye Drop,OPHTHA,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pantomarc 40mg Tablet,GASTRO INTESTINAL,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lartan H 50mg/12.5mg Tablet,CARDIAC,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Neticol Injection,NEURO CNS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oftem 200mg Tablet,ANTI INFECTIVES,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levomac 500mg Infusion,ANTI INFECTIVES,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pantaflox 40mg Tablet,GASTRO INTESTINAL,73,1.23,8.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
DZC 6mg Tablet,HORMONE,29,0.49,9.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Caduet 5 mg/10 mg Tablet,CARDIAC,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
OFLOTAS 50 MG SUSPENSION,ANTI INFECTIVES,592,10.0,0.0,High Flexibility (Safe),Lean Inventory (Low Risk)
Fanny Kit,GYNAECOLOGICA,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levolet 500mg Tablet,OPHTHAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Restpride 50 Tablet,NEURO CNS,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Maxif LB 200mg Tablet,ANTI INFECTIVES,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Winpres H 5mg/12.5mg Tablet,CARDIAC,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Vanirab LS 75mg/20mg Tablet,GASTRO INTESTINAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Baxone 1000mg Injection,ANTI INFECTIVES,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Getfast Plus 50mg/325mg Tablet,PAIN ANALGESICS,104,1.76,8.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Granney 1mg Injection,GASTRO INTESTINAL,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gestoserv 100mg Tablet,GYNAECOLOGICAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Canderm Ear Drop,OTOLOGICAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Fesobig 8 Tablet ER,UROLOG,123,2.08,7.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dolzin 10 Tablet,RESPIRATORY,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Olasam 400mg Tablet,GASTRO INTESTINAL,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Healtab CV 200mg/125mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Luliclean 1% Cream,DERMA,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Baycob Plus Injection,VITAMINS MINERALS NUTRIENT,117,1.98,8.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Coxstar-P Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
